,Date,Symbol,Open
0,2009-12-31,TM,85.16000366210938
1,2009-12-31,F,10.039999961853027
2,2009-12-31,HMC,33.84000015258789
3,2009-12-31,HYMTF,17.0
6,2010-01-04,TM,84.75
7,2010-01-04,VOW3.DE,64.76046752929688
8,2010-01-04,DAI.DE,37.2400016784668
9,2010-01-04,F,10.170000076293944
10,2010-01-04,BMW.DE,31.81999969482422
11,2010-01-04,HMC,34.25
12,2010-01-04,HYMTF,17.0
15,2010-01-04,000270.KS,20100.0
18,2010-01-04,7201.T,813.0
22,2010-01-04,7270.T,452.0
28,2010-01-04,7261.T,1075.0
30,2010-01-05,TM,83.16999816894531
31,2010-01-05,VOW3.DE,64.11434936523438
32,2010-01-05,DAI.DE,37.5
33,2010-01-05,F,10.449999809265137
34,2010-01-05,BMW.DE,31.959999084472656
35,2010-01-05,HMC,34.25
36,2010-01-05,HYMTF,17.75
39,2010-01-05,000270.KS,20850.0
42,2010-01-05,7201.T,822.0
46,2010-01-05,7270.T,458.0
52,2010-01-05,7261.T,1080.0
54,2010-01-06,TM,84.3499984741211
55,2010-01-06,VOW3.DE,63.20979309082031
56,2010-01-06,DAI.DE,37.18999862670898
57,2010-01-06,F,11.210000038146973
58,2010-01-06,BMW.DE,32.45000076293945
59,2010-01-06,HMC,33.970001220703125
60,2010-01-06,HYMTF,17.75
63,2010-01-06,000270.KS,19750.0
66,2010-01-06,7201.T,800.0
70,2010-01-06,7270.T,441.0
76,2010-01-06,7261.T,1070.0
78,2010-01-07,TM,83.11000061035156
79,2010-01-07,VOW3.DE,64.58154296875
80,2010-01-07,DAI.DE,36.84999847412109
81,2010-01-07,F,11.460000038146973
82,2010-01-07,BMW.DE,32.650001525878906
83,2010-01-07,HMC,33.380001068115234
84,2010-01-07,HYMTF,17.75
87,2010-01-07,000270.KS,19800.0
90,2010-01-07,7201.T,806.0
94,2010-01-07,7270.T,449.0
100,2010-01-07,7261.T,1080.0
102,2010-01-08,TM,84.5
103,2010-01-08,VOW3.DE,65.5059814453125
104,2010-01-08,DAI.DE,36.91999816894531
105,2010-01-08,F,11.670000076293944
106,2010-01-08,BMW.DE,33.334999084472656
107,2010-01-08,HMC,34.09000015258789
108,2010-01-08,HYMTF,17.75
111,2010-01-08,000270.KS,18750.0
114,2010-01-08,7201.T,801.0
118,2010-01-08,7270.T,476.0
124,2010-01-08,7261.T,1080.0
126,2010-01-11,TM,86.12999725341797
127,2010-01-11,VOW3.DE,66.59940338134766
128,2010-01-11,DAI.DE,37.18999862670898
129,2010-01-11,F,11.899999618530272
130,2010-01-11,BMW.DE,32.994998931884766
131,2010-01-11,HMC,34.25
132,2010-01-11,HYMTF,17.25
135,2010-01-11,000270.KS,19300.0
145,2010-01-12,TM,89.43000030517578
146,2010-01-12,VOW3.DE,66.41053771972656
147,2010-01-12,DAI.DE,37.34000015258789
148,2010-01-12,F,11.979999542236328
149,2010-01-12,BMW.DE,32.255001068115234
150,2010-01-12,HMC,36.0
151,2010-01-12,HYMTF,17.25
154,2010-01-12,000270.KS,18800.0
157,2010-01-12,7201.T,801.0
161,2010-01-12,7270.T,454.0
167,2010-01-12,7261.T,1130.0
169,2010-01-13,TM,88.98999786376953
170,2010-01-13,VOW3.DE,64.22369384765625
171,2010-01-13,DAI.DE,36.0
172,2010-01-13,F,11.90999984741211
173,2010-01-13,BMW.DE,31.03499984741211
174,2010-01-13,HMC,36.04999923706055
175,2010-01-13,HYMTF,17.75
178,2010-01-13,000270.KS,18800.0
181,2010-01-13,7201.T,808.0
185,2010-01-13,7270.T,459.0
191,2010-01-13,7261.T,1150.0
193,2010-01-14,TM,89.5199966430664
194,2010-01-14,VOW3.DE,63.77638626098633
195,2010-01-14,DAI.DE,36.59999847412109
196,2010-01-14,F,11.649999618530272
