,Company,model,Year,Expert_rating,Symbol
0,acura,ILX,2017,7.2,HMC
1,acura,RDX,2020,8.1,HMC
2,acura,MDX,2020,8.2,HMC
3,acura,ILX,2020,7.3,HMC
4,acura,ILX,2018,7.3,HMC
5,acura,MDX,2018,8.2,HMC
6,acura,RDX,2018,8.3,HMC
7,acura,ILX,2013,7.4,HMC
8,acura,MDX,2013,8.5,HMC
9,acura,RDX,2013,7.5,HMC
10,acura,MDX,2017,7.9,HMC
11,acura,RDX,2015,8.1,HMC
12,acura,RDX,2012,8.6,HMC
13,acura,MDX,2015,8.2,HMC
14,acura,MDX,2019,7.9,HMC
15,acura,ILX,2019,6.2,HMC
16,acura,ILX,2014,7.9,HMC
17,acura,MDX,2014,7.7,HMC
18,acura,RDX,2014,8.1,HMC
19,acura,ILX,2015,7.1,HMC
20,acura,RDX,2019,7.9,HMC
21,acura,MDX,2012,8.2,HMC
22,acura,ILX,2022,6.7,HMC
23,acura,RDX,2010,9.0,HMC
24,acura,MDX,2010,7.8,HMC
25,acura,RDX,2016,8.1,HMC
26,acura,MDX,2016,8.2,HMC
27,acura,RDX,2021,8.5,HMC
28,acura,ILX,2021,6.8,HMC
29,acura,MDX,2011,8.2,HMC
30,acura,RDX,2011,8.8,HMC
31,acura,RDX,2017,8.3,HMC
32,acura,ILX,2016,7.4,HMC
33,acura,RDX,2022,8.4,HMC
34,audi,A6,2015,8.2,VOW3.DE
35,audi,Q5,2016,7.6,VOW3.DE
36,audi,A4,2017,8.3,VOW3.DE
37,audi,Q5,2017,7.7,VOW3.DE
38,audi,A6,2016,8.2,VOW3.DE
39,audi,A4,2010,8.0,VOW3.DE
40,audi,A6,2017,8.1,VOW3.DE
41,audi,A4,2016,8.3,VOW3.DE
42,audi,A6,2010,9.1,VOW3.DE
43,audi,Q5,2011,8.0,VOW3.DE
44,audi,A4,2011,7.9,VOW3.DE
45,audi,A6,2011,8.2,VOW3.DE
46,audi,Q5,2012,8.0,VOW3.DE
47,audi,A4,2012,8.5,VOW3.DE
48,audi,A6,2012,7.8,VOW3.DE
49,audi,Q5,2013,8.2,VOW3.DE
50,audi,A4,2013,8.8,VOW3.DE
51,audi,A6,2013,7.8,VOW3.DE
52,audi,A4,2014,8.0,VOW3.DE
53,audi,A6,2014,8.3,VOW3.DE
54,audi,Q5,2015,7.6,VOW3.DE
55,audi,A4,2015,8.5,VOW3.DE
56,audi,Q5,2014,7.7,VOW3.DE
57,audi,Q5,2010,8.5,VOW3.DE
58,audi,A6,2018,8.4,VOW3.DE
59,audi,A6,2019,7.8,VOW3.DE
60,audi,Q5,2021,8.2,VOW3.DE
61,audi,A6,2021,8.2,VOW3.DE
62,audi,A6,2020,7.9,VOW3.DE
63,audi,Q5,2022,8.2,VOW3.DE
64,audi,Q5,2019,8.5,VOW3.DE
65,audi,A4,2018,8.4,VOW3.DE
66,audi,Q5,2018,8.0,VOW3.DE
67,audi,A4,2019,8.5,VOW3.DE
68,audi,Q5,2020,8.0,VOW3.DE
69,audi,A4,2022,8.6,VOW3.DE
70,audi,A6,2022,8.2,VOW3.DE
71,audi,A4,2020,8.6,VOW3.DE
72,lexus,RX 350,2013,8.9,TM
73,lexus,RX 350,2017,8.5,TM
74,lexus,ES,2012,8.8,TM
75,lexus,IS,2012,8.2,TM
76,lexus,ES,2013,8.3,TM
77,lexus,ES,2019,8.1,TM
78,lexus,RX 350,2012,9.1,TM
79,lexus,RX 350,2020,7.9,TM
80,lexus,IS,2020,7.5,TM
81,lexus,IS,2017,7.9,TM
82,lexus,RX 350,2011,9.1,TM
83,lexus,ES,2011,9.1,TM
84,lexus,IS,2011,8.5,TM
85,lexus,RX 350,2021,8.0,TM
86,lexus,IS,2021,7.3,TM
87,lexus,ES,2021,8.3,TM
88,lexus,ES,2010,9.2,TM
89,lexus,IS,2010,8.3,TM
90,lexus,RX 350,2010,9.2,TM
91,lexus,RX 350,2022,8.0,TM
92,lexus,IS,2022,7.4,TM
93,lexus,ES,2022,8.2,TM
