https://cars.usnews.com/cars-trucks,,,,,,,,,,,,,,,,,,,,,,
make ,model,rating2007,rating2008,rating2009,rating2010,rating2011,rating2012,rating2013,rating2014,rating2015,rating2016,rating2017,rating2018,rating2019,rating2020,rating2021,rating2022,,,,,
BMW,x5,"7,7",8,"7,2","7,3","7,4","7,4","7,7",8,"8,3","8,1","8,1","8,1","7,7","7,6","8,4","8,4",,1,BMW,"['tesla',",tesla
BMW,x3,"7,5","7,9","8,9","8,2",8,"8,6","8,8","8,1","8,6","8,6","8,3","8,3","8,6",8,"8,5","8,4",,,BMW," 'toyota',", toyota
BMW,5 series,"9,6","9,6",8,"8,4","8,4","8,2","7,9","8,1",8,8,8,"8,1","7,7","7,9","8,1","8,2",,,BMW," 'volkswagen',", volkswagen
Chevrolet,Silverado 1500,9,"9,2","8,7","8,8","8,7","8,9","7,9","8,9","8,5","8,9","8,7","8,2","8,4","8,2","7,9",-,,1,Chevrolet," 'mercedes-benz',", mercedes-benz
Chevrolet,Tahoe,"9,4","9,4","8,2","9,1","8,1","8,4","8,8","8,8","8,5","8,5","8,4","8,4","7,9","7,4",8,"8,3",,,Chevrolet," 'ford',", ford
Chevrolet,Malibu,"7,8","9,2","8,4","8,4","8,8","8,2","7,7","8,2","8,6","8,6","8,6","8,1","7,8","7,9","7,5","7,3",,,Chevrolet," 'bmw',", bmw
Ford,F150,"8,2","8,4","8,9","8,4","7,9","7,9","8,3","8,1","8,7","8,6","8,5","8,3","8,8","8,7","8,7","8,7",,1,Ford," 'honda',", honda
Ford,Fusion,"8,9",9,"9,1","9,4","8,2","8,3",8,8,8,"8,2","8,1","8,3","8,2","8,3",-,-,,,Ford," 'ferrari',", ferrari
Ford,Explorer,"8,2",8,"8,7","7,8","8,3","7,8","7,2","7,6","7,2","7,6","7,7","7,6","7,3","7,5","7,7","7,7",,,Ford," 'hyundai',", hyundai
Honda,Accord,"9,3","9,2","8,4","8,4","8,5","8,5","7,7",8,8,8,"7,9","8,4","8,1","8,7","8,9","8,9",,1,Honda," 'kia',", kia
Honda,CRV,"9,2","9,2","8,7","9,1",9,"8,3","8,5","8,5","8,1","8,3","8,6","8,4","8,5","8,5","8,8","8,8",,,Honda," 'volvo',", volvo
Honda,Pilot,"9,2","9,3","7,9","7,8","7,1","7,6","7,6","7,9","7,4","8,2","8,2","8,1","7,8","8,2","8,5","8,4",,,Honda," 'nissan',", nissan
Hyundai,Sonata,"8,6","8,4","8,2",9,8,"7,9",9,"8,6","8,7","8,3","8,7","8,4","8,3",8,"8,1","8,2",,1,Hyundai," 'subaru',", subaru
Hyundai,Santa Fe,8,"8,3","8,5","7,6",8,"7,7","7,8","8,5","8,5","8,5","8,1","8,5","8,5","8,3","8,3","8,2",,,Hyundai," 'isuzu',", isuzu
Hyundai,Tucson,"7,6","7,7","7,2","7,8",8,"8,4","8,5","8,2","8,6",9,"8,6","8,6","7,9",8,8,9,,,Hyundai," 'mazda',", mazda
Kia,Sportage,"7,7","8,1",8,"8,4","8,8","8,8","8,2","8,2",8,"8,2","8,6","8,4","8,5","8,3","8,4","8,4",,1,Kia," 'aston-martin',", aston-martin
